url	title	q_id	year
https://www.gutenberg.org/cache/epub/105/pg105.txt	Persuasion	Q333179	1817
https://www.gutenberg.org/cache/epub/121/pg121.txt	Northanger Abbey	Q477508	1818
https://www.gutenberg.org/cache/epub/141/pg141.txt	Mansfield Park	Q469690	1814
https://www.gutenberg.org/cache/epub/158/pg158.txt	Emma	Q223880	1815
https://www.gutenberg.org/cache/epub/161/pg161.txt	Sense and Sensibility	Q274744	1811
https://www.gutenberg.org/cache/epub/1342/pg1342.txt	Pride and Prejudice	Q170583	1813
https://www.gutenberg.org/cache/epub/768/pg768.txt	Wuthering Heights	Q202975	1847
https://www.gutenberg.org/cache/epub/1028/pg1028.txt	The Professor	Q762203	1857
https://www.gutenberg.org/cache/epub/1260/pg1260.txt	Jane Eyre: An Autobiography	Q124084018	1847
https://www.gutenberg.org/cache/epub/9182/pg9182.txt	Villette	Q2449570	1853
https://www.gutenberg.org/cache/epub/30486/pg30486.txt	Shirley	Q615175	1849
https://www.gutenberg.org/cache/epub/6053/pg6053.txt	Evelina: or, The history of a young lady's entrance into the world	Q113953200	1778
https://www.gutenberg.org/cache/epub/18247/pg18247.txt	Frankenstein; or, The Modern Prometheus	Q150827	1818
https://www.gutenberg.org/cache/epub/18247/pg18247.txt	The Last Man	Q2323961	1826
https://www.gutenberg.org/cache/epub/599/pg599.txt	Vanity Fair	Q612836	1848
https://www.gutenberg.org/cache/epub/897/pg897.txt	The Rose and the Ring	Q7761552	1855
https://www.gutenberg.org/cache/epub/1933/pg1933.txt	History of Samuel Titmarsh and the Great Hoggarty Diamond	Q42191081	1849
https://www.gutenberg.org/cache/epub/1985/pg1985.txt	Men's Wives	Q6816135	1852
https://www.gutenberg.org/cache/epub/2511/pg2511.txt	The History of Henry Esmond	Q3203517	1852
https://www.gutenberg.org/cache/epub/4558/pg4558.txt	The Memoirs of Barry Lyndon	Q124088870	1856
https://www.gutenberg.org/cache/epub/7265/pg7265.txt	The History of Pendennis: His Fortunes and ...	Q124088412	1849
https://www.gutenberg.org/cache/epub/8123/pg8123.txt	The Virginians	Q7772832	1857
https://www.gutenberg.org/cache/epub/45554/pg45554.txt	Doctor Birch and his Young Friends	Q124082706	1849
https://www.gutenberg.org/cache/epub/42/pg42.txt	Strange Case of Dr Jekyll and Mr Hyde	Q217352	1886
https://www.gutenberg.org/cache/epub/120/pg120.txt	Treasure Island	Q185118	1883
https://www.gutenberg.org/cache/epub/136/pg136.txt	A Child's Garden of Verses	Q4655846	1885
https://www.gutenberg.org/cache/epub/329/pg329.txt	Island Nights' Entertainments	Q4710615	1893
https://www.gutenberg.org/cache/epub/344/pg344.txt	The Merry Men and Other Tales and Fables	Q3232887	1887
https://www.gutenberg.org/cache/epub/372/pg372.txt	Prince Otto: A Romance	Q124086074	1885
https://www.gutenberg.org/cache/epub/380/pg380.txt	Weir of Hermiston: An Unfinished Romance	Q124091270	1896
https://www.gutenberg.org/cache/epub/381/pg381.txt	Memories and Portraits	Q6815614	1887
https://www.gutenberg.org/cache/epub/413/pg413.txt	Ballads	Q117488267	1869
https://www.gutenberg.org/cache/epub/421/pg421.txt	Kidnapped	Q2349094	1886
https://www.gutenberg.org/cache/epub/438/pg438.txt	Underwoods	Q7883924	1887
https://www.gutenberg.org/cache/epub/487/pg487.txt	Songs of Travel and Other Verses	Q7561578	1896
https://www.gutenberg.org/cache/epub/516/pg516.txt	The Amateur Emigrant	Q3205310	1895
https://www.gutenberg.org/cache/epub/534/pg534.txt	An Inland Voyage	Q3563373	1878
https://www.gutenberg.org/cache/epub/535/pg535.txt	Travels with a Donkey in the Cévennes	Q10202	1879
https://www.gutenberg.org/cache/epub/536/pg536.txt	A Footnote to History: Eight Years of Trouble in Samoa	Q16981142	1892
https://www.gutenberg.org/cache/epub/589/pg589.txt	Catriona	Q2277829	1893
https://www.gutenberg.org/cache/epub/698/pg698.txt	Memoir of Fleeming Jenkins	Q19788274	1888
https://www.gutenberg.org/cache/epub/etext97/pgetext97.txt	Moral Emblems	Q16665248	1882
https://www.gutenberg.org/cache/epub/839/pg839.txt	New Arabian Nights	Q3234271	1882
https://www.gutenberg.org/cache/epub/848/pg848.txt	The Black Arrow: A Tale of the Two Roses	Q1196792	1889
https://www.gutenberg.org/cache/epub/864/pg864.txt	The Master of Ballantrae: A Winter's Tale	Q124088833	1889
https://www.gutenberg.org/cache/epub/19750/pg19750.txt	The Waif Woman	Q15805767	1914
https://www.gutenberg.org/cache/epub/26247/pg26247.txt	Strange Case of Dr Jekyll and Mr Hyde	Q217352	1886
https://www.gutenberg.org/cache/epub/32954/pg32954.txt	The Black Arrow: A Tale of the Two Roses	Q1196792	1889
https://www.gutenberg.org/cache/epub/471/pg471.txt	The Bride of Lammermoor	Q2659725	1819
https://www.gutenberg.org/cache/epub/1377/pg1377.txt	The Talisman	Q952340	1825
https://www.gutenberg.org/cache/epub/3011/pg3011.txt	The Lady of the Lake	Q2456670	1810
https://www.gutenberg.org/cache/epub/4010/pg4010.txt	Marmion	Q919929	1808
https://www.gutenberg.org/cache/epub/6406/pg6406.txt	The Monastery	Q3224650	1820
https://www.gutenberg.org/cache/epub/155/pg155.txt	The Moonstone	Q2362563	1868
https://www.gutenberg.org/cache/epub/170/pg170.txt	The Haunted Hotel: A Mystery of Modern Venice	Q124088347	1879
https://www.gutenberg.org/cache/epub/583/pg583.txt	The Woman in White	Q1212672	1860
https://www.gutenberg.org/cache/epub/1587/pg1587.txt	The Black Robe	Q7718428	1881
https://www.gutenberg.org/cache/epub/1588/pg1588.txt	A Rogue's Life: From His Birth to His Marri...	Q124081054	1879
https://www.gutenberg.org/cache/epub/1625/pg1625.txt	The Frozen Deep	Q7735382	1866
https://www.gutenberg.org/cache/epub/1626/pg1626.txt	After Dark	Q16974375	1856
https://www.gutenberg.org/cache/epub/1975/pg1975.txt	The Legacy of Cain: A Novel	Q124088622	1889
https://www.gutenberg.org/cache/epub/3632/pg3632.txt	Poor Miss Finch	Q7228798	1872
https://www.gutenberg.org/cache/epub/7891/pg7891.txt	The Dead Alive	Q7729279	2005
https://www.gutenberg.org/cache/epub/176/pg176.txt	Roderick Hudson	Q3079804	1875
https://www.gutenberg.org/cache/epub/178/pg178.txt	Confidence	Q2992478	1879
https://www.gutenberg.org/cache/epub/208/pg208.txt	Daisy Miller: A Study. An International Epi...	Q124082562	1879
https://www.gutenberg.org/cache/epub/209/pg209.txt	The Turn of the Screw	Q625923	1898
https://www.gutenberg.org/cache/epub/210/pg210.txt	An International Episode	Q16681831	1878
https://www.gutenberg.org/cache/epub/211/pg211.txt	The Aspern Papers	Q2362409	1888
https://www.gutenberg.org/cache/epub/432/pg432.txt	The Ambassadors	Q650571	1903
https://www.gutenberg.org/cache/epub/642/pg642.txt	The Altar of the Dead	Q7713242	1895
https://www.gutenberg.org/cache/epub/643/pg643.txt	The Death of the Lion	Q15238560	1895
https://www.gutenberg.org/cache/epub/898/pg898.txt	The Lesson of the Master	Q7746978	1888
https://www.gutenberg.org/cache/epub/etext97/pgetext97.txt	The Beast in the Jungle	Q27331	1903
https://www.gutenberg.org/cache/epub/2715/pg2715.txt	The Real Thing and Other Tales	Q124089979	1893
https://www.gutenberg.org/cache/epub/2719/pg2719.txt	Greville Fane	Q16640116	1892
https://www.gutenberg.org/cache/epub/etext01/pgetext01.txt	La Pension Beaurepas	Q16652482	1879
https://www.gutenberg.org/cache/epub/2870/pg2870.txt	Washington Square	Q1548029	1880
https://www.gutenberg.org/cache/epub/3145/pg3145.txt	The Author of Beltraffio	Q7714948	1884
https://www.gutenberg.org/cache/epub/7118/pg7118.txt	What Maisie Knew	Q2943614	1897
https://www.gutenberg.org/cache/epub/7433/pg7433.txt	The Awkward Age	Q3867271	1899
https://www.gutenberg.org/cache/epub/7529/pg7529.txt	The Reverberator	Q3616152	1888
https://www.gutenberg.org/cache/epub/7813/pg7813.txt	Madame de Mauves	Q6726354	1874
https://www.gutenberg.org/cache/epub/8080/pg8080.txt	A Passionate Pilgrim	Q4658725	1871
https://www.gutenberg.org/cache/epub/20085/pg20085.txt	The Tragic Muse	Q3659366	1890
https://www.gutenberg.org/cache/epub/21968/pg21968.txt	The Finer Grain	Q123410504	1910
https://www.gutenberg.org/cache/epub/32649/pg32649.txt	The Middle Years	Q7751288	1917
https://www.gutenberg.org/cache/epub/32939/pg32939.txt	The Sacred Fount	Q2743868	1901
https://www.gutenberg.org/cache/epub/33325/pg33325.txt	The Spoils of Poynton	Q3809486	1897
https://www.gutenberg.org/cache/epub/38424/pg38424.txt	Notes of a Son and Brother	Q7062617	1914
https://www.gutenberg.org/cache/epub/55078/pg55078.txt	The Birthplace	Q7718152	1903
https://www.gutenberg.org/cache/epub/58938/pg58938.txt	English Hours	Q5378288	1905
https://www.gutenberg.org/cache/epub/1906/pg1906.txt	Erewhon: or, Over the Range	Q124082913	1872
https://www.gutenberg.org/cache/epub/1971/pg1971.txt	Erewhon Revisited	Q5385740	1901
https://www.gutenberg.org/cache/epub/2084/pg2084.txt	The Way of All Flesh	Q255074	1903
https://www.gutenberg.org/cache/epub/7766/pg7766.txt	A Dog of Flanders	Q11036624	1872
https://www.gutenberg.org/cache/epub/13459/pg13459.txt	The Waters of Edera	Q124090577	1900
https://www.gutenberg.org/cache/epub/619/pg619.txt	The Warden	Q3818437	1855
https://www.gutenberg.org/cache/epub/2158/pg2158.txt	The Prime Minister	Q7758216	1875
https://www.gutenberg.org/cache/epub/2432/pg2432.txt	Barchester Towers	Q4859885	1857
https://www.gutenberg.org/cache/epub/2860/pg2860.txt	Framley Parsonage	Q8565314	1861
https://www.gutenberg.org/cache/epub/3045/pg3045.txt	The Last Chronicle of Barset	Q7745622	1866
https://www.gutenberg.org/cache/epub/3166/pg3166.txt	Doctor Thorne	Q5287401	1858
https://www.gutenberg.org/cache/epub/3622/pg3622.txt	The Duke's Children	Q7731161	1879
https://www.gutenberg.org/cache/epub/4599/pg4599.txt	The Small House at Allington	Q7764868	1862
https://www.gutenberg.org/cache/epub/5118/pg5118.txt	The American Senator	Q7713563	1877
https://www.gutenberg.org/cache/epub/5202/pg5202.txt	The Golden Lion of Granpère	Q124088255	1872
https://www.gutenberg.org/cache/epub/5231/pg5231.txt	The Way We Live Now	Q7773866	1875
https://www.gutenberg.org/cache/epub/5709/pg5709.txt	La Vendée: An Historical Romance	Q124084266	1850
https://www.gutenberg.org/cache/epub/5897/pg5897.txt	Castle Richmond	Q5050241	1860
https://www.gutenberg.org/cache/epub/7381/pg7381.txt	The Eustace Diamonds	Q7732627	1872
https://www.gutenberg.org/cache/epub/7481/pg7481.txt	The Three Clerks	Q15052552	1857
https://www.gutenberg.org/cache/epub/8897/pg8897.txt	Nina Balatka: The Story of a Maiden of Prague	Q124085587	1867
https://www.gutenberg.org/cache/epub/11643/pg11643.txt	John Caldigate	Q124084092	1879
https://www.gutenberg.org/cache/epub/12234/pg12234.txt	Mr. Scarborough's Family	Q124085374	1883
https://www.gutenberg.org/cache/epub/16804/pg16804.txt	The Girl Who Takes an Eye for an Eye	Q41103935	2017
https://www.gutenberg.org/cache/epub/18640/pg18640.txt	Phineas Redux	Q7186370	1874
https://www.gutenberg.org/cache/epub/21847/pg21847.txt	Dr. Wortle's School: A Novel	Q124082789	1881
https://www.gutenberg.org/cache/epub/24103/pg24103.txt	The Bostonians	Q2338040	1886
https://www.gutenberg.org/cache/epub/26002/pg26002.txt	Linda Tressel	Q124084476	1868
https://www.gutenberg.org/cache/epub/26541/pg26541.txt	The Vicar of Bullhampton	Q7772505	1870
https://www.gutenberg.org/cache/epub/27067/pg27067.txt	The Fixed Period	Q7734312	1882
https://www.gutenberg.org/cache/epub/27712/pg27712.txt	Sir Harry Hotspur of Humblethwaite	Q7527051	1871
https://www.gutenberg.org/cache/epub/29000/pg29000.txt	The Macdermots of Ballycloran	Q7749272	1847
https://www.gutenberg.org/cache/epub/30100/pg30100.txt	Marion Fay: A Novel	Q124084907	1882
https://www.gutenberg.org/cache/epub/31274/pg31274.txt	Lady Anna	Q6469939	1873
https://www.gutenberg.org/cache/epub/34000/pg34000.txt	Rachel Ray	Q7279367	1863
https://www.gutenberg.org/cache/epub/54424/pg54424.txt	Lotta Schmidt and Other Stories	Q124084654	1867
https://www.gutenberg.org/cache/epub/55147/pg55147.txt	Tales of All Countries: Second Series	Q124086816	1863
https://www.gutenberg.org/cache/epub/23564/pg23564.txt	Rookwood	Q7366231	1834
https://www.gutenberg.org/cache/epub/145/pg145.txt	Middlemarch	Q313129	1871
https://www.gutenberg.org/cache/epub/507/pg507.txt	Adam Bede	Q2611046	1859
https://www.gutenberg.org/cache/epub/550/pg550.txt	Silas Marner	Q638327	1861
https://www.gutenberg.org/cache/epub/2165/pg2165.txt	The Lifted Veil	Q6763446	1859
https://www.gutenberg.org/cache/epub/6688/pg6688.txt	The Mill on the Floss	Q1215018	1860
https://www.gutenberg.org/cache/epub/7469/pg7469.txt	Daniel Deronda	Q552238	1876
https://www.gutenberg.org/cache/epub/10762/pg10762.txt	Impressions of Theophrastus Such	Q6007633	1879
https://www.gutenberg.org/cache/epub/17780/pg17780.txt	Scenes of Clerical Life	Q6544172	1857
https://www.gutenberg.org/cache/epub/24020/pg24020.txt	Romola	Q7363279	1862
https://www.gutenberg.org/cache/epub/40882/pg40882.txt	George Eliot, the Radical	Q5442230	1866
https://www.gutenberg.org/cache/epub/11/pg11.txt	Alice's Adventures in Wonderland	Q92640	1865
https://www.gutenberg.org/cache/epub/12/pg12.txt	Through the Looking-Glass	Q220331	1871
https://www.gutenberg.org/cache/epub/620/pg620.txt	Sylvie and Bruno	Q1632505	1889
https://www.gutenberg.org/cache/epub/651/pg651.txt	Phantasmagoria and Other Poems	Q18629846	1869
https://www.gutenberg.org/cache/epub/23717/pg23717.txt	Jabberwocky	Q250371	1871
https://www.gutenberg.org/cache/epub/28696/pg28696.txt	Symbolic Logic	Q19309721	1896
https://www.gutenberg.org/cache/epub/29042/pg29042.txt	A Tangled Tale	Q1517691	1885
https://www.gutenberg.org/cache/epub/271/pg271.txt	Black Beauty	Q880092	1877
https://www.gutenberg.org/cache/epub/27/pg27.txt	Far from the Madding Crowd	Q5642996	1874
https://www.gutenberg.org/cache/epub/110/pg110.txt	Tess of the d'Urbervilles	Q649409	1891
https://www.gutenberg.org/cache/epub/122/pg122.txt	The Return of the Native	Q141568	1878
https://www.gutenberg.org/cache/epub/143/pg143.txt	The Mayor of Casterbridge	Q2343169	1886
https://www.gutenberg.org/cache/epub/153/pg153.txt	Jude the Obscure	Q1248773	1895
https://www.gutenberg.org/cache/epub/2864/pg2864.txt	The Trumpet-Major: A Tale	Q124090463	1880
https://www.gutenberg.org/cache/epub/3044/pg3044.txt	Desperate Remedies	Q2846293	1871
https://www.gutenberg.org/cache/epub/3146/pg3146.txt	Two on a Tower	Q7859431	1882
https://www.gutenberg.org/cache/epub/3168/pg3168.txt	Poems of the Past and the Present	Q30672652	1901
https://www.gutenberg.org/cache/epub/3258/pg3258.txt	A Laodicean: or, The Castle of the De Stancys. A Story of To-Day	Q124080865	1881
https://www.gutenberg.org/cache/epub/3469/pg3469.txt	The Hand of Ethelberta: A Comedy in Chapters	Q124088330	1876
https://www.gutenberg.org/cache/epub/4758/pg4758.txt	Late Lyrics and Earlier, With Many Other Verses	Q107332912	1922
https://www.gutenberg.org/cache/epub/9420/pg9420.txt	The Hand of Ethelberta: A Comedy in Chapters	Q124088330	1876
https://www.gutenberg.org/cache/epub/9422/pg9422.txt	A Laodicean: or, The Castle of the De Stancys. A Story of To-Day	Q124080865	1881
https://www.gutenberg.org/cache/epub/9424/pg9424.txt	Late Lyrics and Earlier, With Many Other Verses	Q107332912	1922
https://www.gutenberg.org/cache/epub/9437/pg9437.txt	Under the Greenwood Tree	Q2251594	1872
https://www.gutenberg.org/cache/epub/9438/pg9438.txt	The Well-Beloved: A Sketch of a Temperment	Q124090593	1897
https://www.gutenberg.org/cache/epub/19337/pg19337.txt	A Christmas Carol	Q62879	1843
https://www.gutenberg.org/cache/epub/98/pg98.txt	A Tale of Two Cities	Q308918	1859
https://www.gutenberg.org/cache/epub/564/pg564.txt	The Mystery of Edwin Drood	Q1168105	1870
https://www.gutenberg.org/cache/epub/580/pg580.txt	The Pickwick Papers	Q460583	1836
https://www.gutenberg.org/cache/epub/678/pg678.txt	The Cricket on the Hearth	Q825220	1845
https://www.gutenberg.org/cache/epub/730/pg730.txt	Oliver Twist	Q164974	1838
https://www.gutenberg.org/cache/epub/786/pg786.txt	Hard Times: For These Times	Q1340493	1854
https://www.gutenberg.org/cache/epub/821/pg821.txt	Dombey and Son	Q963659	1848
https://www.gutenberg.org/cache/epub/882/pg882.txt	Sketches by Boz	Q2609480	1836
https://www.gutenberg.org/cache/epub/883/pg883.txt	Our Mutual Friend	Q1557935	1864
https://www.gutenberg.org/cache/epub/917/pg917.txt	Barnaby Rudge	Q2362527	1840
https://www.gutenberg.org/cache/epub/927/pg927.txt	The Lamplighter	Q7745312	1854
https://www.gutenberg.org/cache/epub/963/pg963.txt	Little Dorrit	Q565638	1857
https://www.gutenberg.org/cache/epub/967/pg967.txt	Nicholas Nickleby	Q847642	1839
https://www.gutenberg.org/cache/epub/968/pg968.txt	Martin Chuzzlewit	Q1903609	1844
https://www.gutenberg.org/cache/epub/1023/pg1023.txt	Bleak House	Q883305	1853
https://www.gutenberg.org/cache/epub/1400/pg1400.txt	Great Expectations	Q219552	1861
https://www.gutenberg.org/cache/epub/1419/pg1419.txt	Mugby Junction	Q3973499	1866
https://www.gutenberg.org/cache/epub/922/pg922.txt	Sunday Under Three Heads	Q3712854	1836
https://www.gutenberg.org/cache/epub/20795/pg20795.txt	The Cricket on the Hearth	Q825220	1845
